zip,lat,lon,city,county,state house dist,state senate dist,congressional dist,population
54950,44.67081,-88.88927,Marion,Waupaca County,Assembly District 40,State Senate District 14,WI8,2773
54228,44.23916,-87.64119,Mishicot,Manitowoc County,Assembly District 2,State Senate District 1,WI6,2769
54466,44.408897,-90.190911,Pittsville,Wood County,Assembly District 70,State Senate District 24,WI7,2761
53178,43.018327,-88.600429,Sullivan,Jefferson County,Assembly District 33,State Senate District 11,WI5,2755
54968,43.832741,-89.122651,Princeton,Green Lake County,Assembly District 41,State Senate District 14,WI6,2738
54101,44.792284,-88.044067,Abrams,Oconto County,Assembly District 89,State Senate District 30,WI8,2723
54814,46.853517,-90.915934,Bayfield,Bayfield County,Assembly District 74,State Senate District 25,WI7,2718
53598,43.207783,-89.34178,Windsor,Dane County,Assembly District 79,State Senate District 27,WI2,2713
54639,43.600044,-90.636482,La Farge,Vernon County,Assembly District 96,State Senate District 32,WI3,2708
54872,45.782741,-92.385751,Siren,Burnett County,Assembly District 28,State Senate District 10,WI7,2682
54614,43.89302,-90.99041,Bangor,La Crosse County,Assembly District 94,State Senate District 32,WI3,2666
53015,43.91499,-87.74731,Cleveland,Manitowoc County,Assembly District 27,State Senate District 9,WI6,2661
53932,43.417126,-89.070459,Fall River,Columbia County,Assembly District 42,State Senate District 14,WI6,2657
54473,44.605786,-89.356834,Rosholt,Portage County,Assembly District 71,State Senate District 24,WI3,2655
54460,44.94858,-90.5643,Owen,Clark County,Assembly District 69,State Senate District 23,WI7,2654
54616,44.251701,-91.264753,Blair,Trempealeau County,Assembly District 92,State Senate District 31,WI3,2650
54889,45.400115,-92.074695,Turtle Lake,Barron County,Assembly District 75,State Senate District 25,WI7,2648
53929,43.7408,-90.27235,Elroy,Juneau County,Assembly District 50,State Senate District 17,WI3,2647
53556,43.241475,-90.265197,Lone Rock,Richland County,Assembly District 51,State Senate District 17,WI2,2642
54009,45.36179,-92.549952,Dresser,Polk County,Assembly District 28,State Senate District 10,WI7,2615
54629,44.170774,-91.674962,Fountain City,Buffalo County,Assembly District 92,State Senate District 31,WI3,2606
54658,43.669102,-91.134346,Stoddard,Vernon County,Assembly District 96,State Senate District 32,WI3,2598
54410,44.535658,-90.007245,Arpin,Wood County,Assembly District 70,State Senate District 24,WI7,2594
53502,42.712827,-89.45123,Albany,Green County,Assembly District 45,State Senate District 15,WI2,2515
54747,44.356483,-91.443718,Independence,Trempealeau County,Assembly District 92,State Senate District 31,WI3,2513
54960,43.922097,-89.310982,Neshkoro,Marquette County,Assembly District 41,State Senate District 14,WI6,2493
53023,43.772128,-88.041299,Glenbeulah,Sheboygan County,Assembly District 59,State Senate District 20,WI6,2486
53153,42.940971,-88.401712,North Prairie,Waukesha County,Assembly District 99,State Senate District 33,WI1,2465
54028,44.95302,-92.2913,Woodville,St. Croix County,Assembly District 29,State Senate District 10,WI7,2448
53570,42.74305,-89.621013,Monticello,Green County,Assembly District 80,State Senate District 27,WI2,2446
53035,43.36296,-88.581515,Iron Ridge,Dodge County,Assembly District 39,State Senate District 13,WI5,2403
54436,44.607247,-90.457313,Granton,Clark County,Assembly District 69,State Senate District 23,WI7,2396
