ZIP,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,State Legislative District House,State Legislative District Senate,Congressional District,Congress,population
53045,43.06081,-88.15589,1,place,,,,,Brookfield,WI,Waukesha County,53045,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 14,State Senate District 5,WI5,117th,"21,468"
53092,43.235856,-87.981188,1,place,,,,,Thiensville,WI,Ozaukee County,53092,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 23,State Senate District 8,WI6,117th,"20,983"
53172,42.91057,-87.86064,1,place,,,,,South Milwaukee,WI,Milwaukee County,53172,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 21,State Senate District 7,WI4,117th,"20,957"
53913,43.47109,-89.74429,1,place,,,,,Baraboo,WI,Sauk County,53913,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 81,State Senate District 27,WI2,117th,"20,799"
53083,43.815872,-87.764212,1,place,,,,,Sheboygan,WI,Sheboygan County,53083,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 27,State Senate District 9,WI6,117th,"20,479"
53149,42.86668,-88.33343,1,place,,,,,Mukwonago,WI,Waukesha County,53149,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 33,State Senate District 11,WI1,117th,"20,252"
53589,42.931289,-89.168354,1,place,,,,,Stoughton,WI,Dane County,53589,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 46,State Senate District 16,WI2,117th,"20,176"
53005,43.062707,-88.105906,1,place,,,,,Brookfield,WI,Waukesha County,53005,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 14,State Senate District 5,WI5,117th,"20,124"
54501,45.704474,-89.386562,1,place,,,,,Rhinelander,WI,Oneida County,54501,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 34,State Senate District 12,WI7,117th,"19,960"
54937,43.791998,-88.388482,1,place,,,,,Fond Du Lac,WI,Fond Du Lac County,54937,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 52,State Senate District 18,WI6,117th,"19,766"
53597,43.19194,-89.45567,1,place,,,,,Waunakee,WI,Dane County,53597,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 79,State Senate District 27,WI2,117th,"19,445"
53022,43.235477,-88.124711,1,place,,,,,Germantown,WI,Washington County,53022,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 24,State Senate District 8,WI5,117th,"19,397"
53094,43.132599,-88.743595,1,place,,,,,Watertown,WI,Jefferson County,53094,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 38,State Senate District 13,WI5,117th,"19,301"
53548,42.682455,-89.051926,0.9,place,,,,,Janesville,WI,Rock County,53548,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 44,State Senate District 15,WI2,117th,"19,243"
53190,42.784255,-88.592559,1,place,,,,,Whitewater,WI,Walworth County,53190,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 33,State Senate District 11,WI1,117th,"19,241"
53089,43.148887,-88.245381,1,place,,,,,Sussex,WI,Waukesha County,53089,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 22,State Senate District 8,WI5,117th,"19,128"
53185,42.763168,-88.197361,1,place,,,,,Waterford,WI,Racine County,53185,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 83,State Senate District 28,WI1,117th,"19,113"
54476,44.866501,-89.576968,1,place,,,,,Schofield,WI,Marathon County,54476,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 86,State Senate District 29,WI7,117th,"19,025"
53121,42.671666,-88.563961,1,place,,,,,Elkhorn,WI,Walworth County,53121,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 31,State Senate District 11,WI1,117th,"18,949"
53226,43.049312,-88.041387,1,place,,,,,Milwaukee,WI,Milwaukee County,53226,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 13,State Senate District 5,WI5,117th,"18,940"
53538,42.926467,-88.841626,1,place,,,,,Fort Atkinson,WI,Jefferson County,53538,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 33,State Senate District 11,WI5,117th,"18,528"
53716,43.063103,-89.313327,1,place,,,,,Madison,WI,Dane County,53716,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 47,State Senate District 16,WI2,117th,"18,480"
54452,45.217518,-89.713291,1,place,,,,,Merrill,WI,Lincoln County,54452,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 35,State Senate District 12,WI7,117th,"18,407"
53012,43.321475,-88.004033,1,place,,,,,Cedarburg,WI,Ozaukee County,53012,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 60,State Senate District 20,WI6,117th,"18,335"
53110,42.948015,-87.866831,1,place,,,,,Cudahy,WI,Milwaukee County,53110,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 20,State Senate District 7,WI4,117th,"18,271"
54455,44.809226,-89.701277,1,place,,,,,Mosinee,WI,Marathon County,54455,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 86,State Senate District 29,WI7,117th,"18,174"
54017,45.090925,-92.496993,1,place,,,,,New Richmond,WI,St. Croix County,54017,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 29,State Senate District 10,WI7,117th,"17,995"
54656,43.949925,-90.752783,1,place,,,,,Sparta,WI,Monroe County,54656,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 96,State Senate District 32,WI3,117th,"17,670"
53024,43.299956,-87.94104,1,place,,,,,Grafton,WI,Ozaukee County,53024,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 23,State Senate District 8,WI6,117th,"17,270"
53147,42.617877,-88.52023,1,place,,,,,Lake Geneva,WI,Walworth County,53147,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 32,State Senate District 11,WI1,117th,"16,858"
54235,44.78333,-87.31667,1,place,,,,,Sturgeon Bay,WI,Door County,54235,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 1,State Senate District 1,WI8,117th,"16,840"
53158,42.52926,-87.885546,1,place,,,,,Pleasant Prairie,WI,Kenosha County,53158,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 61,State Senate District 21,WI1,117th,"16,750"
54166,44.745058,-88.664156,1,place,,,,,Shawano,WI,Shawano County,54166,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 6,State Senate District 2,WI8,117th,"16,620"
53575,42.933918,-89.389642,1,place,,,,,Oregon,WI,Dane County,53575,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 80,State Senate District 27,WI2,117th,"16,357"
53818,42.73416,-90.47846,1,place,,,,,Platteville,WI,Grant County,53818,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 49,State Senate District 17,WI3,117th,"16,179"
53714,43.100348,-89.311966,1,place,,,,,Madison,WI,Dane County,53714,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 48,State Senate District 16,WI2,117th,"16,147"
53115,42.641556,-88.653496,1,place,,,,,Delavan,WI,Walworth County,53115,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 32,State Senate District 11,WI1,117th,"15,998"
54660,43.983826,-90.473336,1,place,,,,,Tomah,WI,Monroe County,54660,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 96,State Senate District 32,WI3,117th,"15,887"
53532,43.24777,-89.34373,1,place,,,,,De Forest,WI,Dane County,53532,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 37,State Senate District 13,WI2,117th,"15,696"
54868,45.519692,-91.826575,1,place,,,,,Rice Lake,WI,Barron County,54868,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 75,State Senate District 25,WI7,117th,"15,247"
54981,44.35803,-89.08595,1,place,,,,,Waupaca,WI,Waupaca County,54981,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 40,State Senate District 14,WI8,117th,"15,209"
53566,42.612966,-89.656994,1,place,,,,,Monroe,WI,Green County,53566,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 51,State Senate District 17,WI2,117th,"15,162"
53233,43.037213,-87.933529,1,place,,,,,Milwaukee,WI,Milwaukee County,53233,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 16,State Senate District 6,WI4,117th,"15,143"
53404,42.756718,-87.812275,1,place,,,,,Racine,WI,Racine County,53404,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 62,State Senate District 21,WI1,117th,"14,996"
54143,45.086805,-87.716311,1,place,,,,,Marinette,WI,Marinette County,54143,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 89,State Senate District 30,WI8,117th,"14,885"
53073,43.768454,-87.975773,1,place,,,,,Plymouth,WI,Sheboygan County,53073,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 27,State Senate District 9,WI6,117th,"14,777"
53718,43.093146,-89.276619,1,place,,,,,Madison,WI,Dane County,53718,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 48,State Senate District 16,WI2,117th,"14,768"
53901,43.53915,-89.46262,1,place,,,,,Portage,WI,Columbia County,53901,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 81,State Senate District 27,WI6,117th,"14,751"
53228,42.967564,-88.043386,1,place,,,,,Milwaukee,WI,Milwaukee County,53228,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 84,State Senate District 28,WI5,117th,"14,703"
54636,43.968617,-91.223484,1,place,,,,,Holmen,WI,La Crosse County,54636,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 94,State Senate District 32,WI3,117th,"14,587"
53129,42.937765,-87.998935,1,place,,,,,Greendale,WI,Milwaukee County,53129,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 82,State Senate District 28,WI1,117th,"14,148"
54467,44.413942,-89.565507,1,place,,,,,Plover,WI,Portage County,54467,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 71,State Senate District 24,WI3,117th,"14,100"
54603,43.853763,-91.246238,1,place,,,,,La Crosse,WI,La Crosse County,54603,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 95,State Senate District 32,WI3,117th,"14,090"
54241,44.15388,-87.56925,1,place,,,,,Two Rivers,WI,Manitowoc County,54241,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 2,State Senate District 1,WI6,117th,"14,014"
