ZIP,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,State Legislative District House,State Legislative District Senate,Congressional District,Congress
53023,43.772128,-88.041299,1,place,,,,,Glenbeulah,WI,Sheboygan County,53023,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 59,State Senate District 20,WI6,117th
53153,42.940971,-88.401712,1,place,,,,,North Prairie,WI,Waukesha County,53153,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 99,State Senate District 33,WI1,117th
54028,44.95302,-92.2913,1,place,,,,,Woodville,WI,St. Croix County,54028,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 29,State Senate District 10,WI7,117th
53570,42.74305,-89.621013,1,place,,,,,Monticello,WI,Green County,53570,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 80,State Senate District 27,WI2,117th
53035,43.36296,-88.581515,1,place,,,,,Iron Ridge,WI,Dodge County,53035,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 39,State Senate District 13,WI5,117th
54436,44.607247,-90.457313,1,place,,,,,Granton,WI,Clark County,54436,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 69,State Senate District 23,WI7,117th
54498,44.944248,-90.638388,1,place,,,,,Withee,WI,Clark County,54498,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 68,State Senate District 23,WI7,117th
54112,45.06498,-88.03427,1,place,,,,,Coleman,WI,Marinette County,54112,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 89,State Senate District 30,WI8,117th
54423,44.51053,-89.42623,1,place,,,,,Custer,WI,Portage County,54423,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 71,State Senate District 24,WI3,117th
53044,43.748441,-87.776246,1,place,,,,,Kohler,WI,Sheboygan County,53044,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 27,State Senate District 9,WI6,117th
53936,43.88692,-89.70624,1,place,,,,,Grand Marsh,WI,Adams County,53936,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 41,State Senate District 14,WI3,117th
54947,44.194993,-88.688629,1,place,,,,,Larsen,WI,Winnebago County,54947,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 56,State Senate District 19,WI8,117th
53139,42.720022,-88.120616,1,place,,,,,Kansasville,WI,Racine County,53139,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 63,State Senate District 21,WI1,117th
54941,43.85627,-88.985883,1,place,,,,,Green Lake,WI,Green Lake County,54941,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 41,State Senate District 14,WI6,117th
53002,43.42055,-88.34093,1,place,,,,,Allenton,WI,Washington County,53002,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 59,State Senate District 20,WI5,117th
54111,44.810274,-88.391648,1,place,,,,,Cecil,WI,Shawano County,54111,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 36,State Senate District 12,WI8,117th
54810,45.44829,-92.4502,1,place,,,,,Balsam Lake,WI,Polk County,54810,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 28,State Senate District 10,WI7,117th
53576,42.614273,-89.233129,1,place,,,,,Orfordville,WI,Rock County,53576,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 43,State Senate District 15,WI2,117th
54618,43.988481,-90.239261,1,place,,,,,Camp Douglas,WI,Juneau County,54618,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 50,State Senate District 17,WI3,117th
"54819, 53515, and 53586",42.57334,-90.23096,0.33,place,,,,,Shullsburg,WI,Lafayette County,53586,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 51,State Senate District 17,WI2,117th
53968 and 54534,46.371032,-90.221645,0.33,place,,,,,Hurley,WI,Iron County,54534,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 74,State Senate District 25,WI7,117th
53516,42.81028,-89.86207,1,place,,,,,Blanchardville,WI,Lafayette County,53516,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 51,State Senate District 17,WI2,117th
54141,44.744566,-87.995493,1,place,,,,,Little Suamico,WI,Oconto County,54141,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 89,State Senate District 30,WI8,117th
53820,42.692445,-90.731654,1,place,,,,,Potosi,WI,Grant County,53820,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 49,State Senate District 17,WI3,117th
53951,43.4031,-89.872232,1,place,,,,,North Freedom,WI,Sauk County,53951,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 81,State Senate District 27,WI2,117th
53170,42.552018,-88.160836,1,place,,,,,Silver Lake,WI,Kenosha County,53170,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 61,State Senate District 21,WI1,117th
54824 and 53065,43.6861,-88.5465,0.33,place,,,,,Oakfield,WI,Fond Du Lac County,53065,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 52,State Senate District 18,WI6,117th
54004,45.33135,-92.1713,1,place,,,,,Clayton,WI,Polk County,54004,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 28,State Senate District 10,WI7,117th
54770,44.54969,-91.39266,1,place,,,,,Strum,WI,Trempealeau County,54770,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 92,State Senate District 31,WI3,117th
53507 and 53011,43.65833,-88.00704,0.33,place,,,,,Cascade,WI,Sheboygan County,53011,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 59,State Senate District 20,WI6,117th
54642,44.196358,-90.979249,1,place,,,,,Melrose,WI,Jackson County,54642,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 92,State Senate District 31,WI3,117th
54623 and 54443,44.588962,-89.707997,0.33,place,,,,,Junction City,WI,Portage County,54443,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 70,State Senate District 24,WI3,117th
53923 and 54909,44.25886,-89.40706,0.33,place,,,,,Almond,WI,Portage County,54909,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 72,State Senate District 24,WI3,117th
53585,42.50252,-88.72899,1,place,,,,,Sharon,WI,Walworth County,53585,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 31,State Senate District 11,WI1,117th
54014,44.655504,-92.573652,1,place,,,,,Hager City,WI,Pierce County,54014,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 93,State Senate District 31,WI3,117th
54205,44.596082,-87.637308,1,place,,,,,Casco,WI,Kewaunee County,54205,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 1,State Senate District 1,WI8,117th
53944,43.714061,-89.949337,1,place,,,,,Lyndon Station,WI,Juneau County,53944,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 50,State Senate District 17,WI3,117th
54425,44.996496,-90.374411,1,place,,,,,Dorchester,WI,Clark County,54425,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 69,State Senate District 23,WI7,117th
54847,46.599552,-91.437437,1,place,,,,,Iron River,WI,Bayfield County,54847,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 74,State Senate District 25,WI7,117th
53529,43.239966,-89.523346,1,place,,,,,Dane,WI,Dane County,53529,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 42,State Senate District 14,WI2,117th
54245,44.053321,-87.899912,1,place,,,,,Valders,WI,Manitowoc County,54245,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 25,State Senate District 9,WI6,117th
54817,45.732675,-91.615044,1,place,,,,,Birchwood,WI,Washburn County,54817,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 75,State Senate District 25,WI7,117th
54470,45.31747,-90.20848,1,place,,,,,Rib Lake,WI,Taylor County,54470,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 87,State Senate District 29,WI7,117th
53504,42.690143,-89.922697,1,place,,,,,Argyle,WI,Lafayette County,53504,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 51,State Senate District 17,WI2,117th
54412 and 53093,43.662704,-87.930254,0.33,place,,,,,Waldo,WI,Sheboygan County,53093,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 59,State Senate District 20,WI6,117th
54435,45.30885,-89.49651,1,place,,,,,Gleason,WI,Lincoln County,54435,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 35,State Senate District 12,WI7,117th
54026,45.196909,-92.530754,0.9,place,,,,,Star Prairie,WI,St. Croix County,54026,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 29,State Senate District 10,WI7,117th
54558,45.90162,-89.48736,1,place,,,,,Saint Germain,WI,Vilas County,54558,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 34,State Senate District 12,WI7,117th
54943,44.103548,-89.491566,1,place,,,,,Hancock,WI,Waushara County,54943,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 72,State Senate District 24,WI6,117th
54740,44.744453,-92.226414,1,place,,,,,Elmwood,WI,Pierce County,54740,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 93,State Senate District 31,WI3,117th
54247,44.14472,-87.82148,1,place,,,,,Whitelaw,WI,Manitowoc County,54247,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 25,State Senate District 9,WI6,117th
54966,44.21386,-89.49234,1,place,,,,,Plainfield,WI,Waushara County,54966,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 72,State Senate District 24,WI6,117th
53561,43.364531,-89.66396,1,place,,,,,Merrimac,WI,Sauk County,53561,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 81,State Senate District 27,WI2,117th
